#{"t_start": 1692615987.8960552, "env_id": "DeepDefragmentation-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,reward,number_movements,number_defragmentation_procedure,number_arrivals,bit_rate_blocking_rate,number_movements_episode,number_defragmentation_procedure_episode,service_blocked_eopisode,number_options,existing_options
-359.790584,1012,1420.806628,0.0,0.010718737017033651,252.209416485289,19966,6365,12034,0.01884579493430243,242,75,0,2,3
-388.298092,962,1440.115844,0.02666666666666667,0.010915955351280367,173.70190803380737,20217,6446,12183,0.019210145701236782,251,81,4,5,6
-281.792371,932,1458.157613,0.0,0.010778831347759138,250.2076294775825,20462,6522,12338,0.01896857525252974,245,76,0,1,2
-396.187285,1006,1476.585943,0.006289308176100629,0.01072257341762023,209.81271498854773,20704,6597,12496,0.018899473616209393,242,75,1,2,3
-392.525391,1021,1494.271019,0.006622516556291391,0.010674468253340712,228.4746088738457,20954,6676,12646,0.018849977739664445,250,79,1,1,2
-459.51239,1091,1511.704985,0.011299435028248588,0.010683927318100288,231.4876097022156,21178,6752,12822,0.018897117008586376,224,76,2,3,4
-457.634528,1091,1530.647372,0.03773584905660377,0.011016100454510439,233.36547228002436,21420,6817,12980,0.019360024407315594,242,65,6,2,3
-387.140285,959,1549.452067,0.04697986577181208,0.01142508949653439,171.8597154273619,21672,6889,13128,0.01997293706813994,252,72,7,8,9
-312.600862,977,1567.655399,0.0,0.011299435028248588,264.399138089052,21926,6958,13274,0.019771555820576676,254,69,0,0,1
-329.047606,1008,1585.730597,0.0,0.011164867882396725,278.95239387124707,22166,7035,13434,0.019555132423695054,240,77,0,1,2
-392.338279,1024,1603.502259,0.005714285714285714,0.011095598500991991,231.66172073808815,22392,7114,13608,0.019460782484988084,226,79,1,5,6
-257.33745,876,1622.940984,0.013793103448275862,0.011124845488257108,218.66255000961482,22648,7186,13752,0.01955561575269527,256,72,2,2,3
-244.053203,870,1641.821869,0.006211180124223602,0.011068784589951844,225.94679732763737,22888,7264,13912,0.019379837668458768,240,78,1,0,1
-448.225777,1062,1660.390074,0.018072289156626505,0.011152152294359995,213.77422316068493,23123,7325,14077,0.019512369169564718,235,61,3,5,6
-325.067493,894,1679.839245,0.04895104895104895,0.011533052039381153,168.93250733525713,23381,7393,14219,0.020342841251161987,258,68,7,4,5
-346.840338,917,1699.367639,0.011834319526627219,0.011537392271337226,170.15966213545693,23613,7472,14387,0.020387389472911483,232,79,2,2,3
