#{"t_start": 1684999697.4202929, "env_id": "DeepDefragmentation-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,reward,number_movements,number_defragmentation_procedure,number_arrivals,bit_rate_blocking_rate,number_movements_episode,number_defragmentation_procedure_episode,service_blocked_eopisode,number_options,existing_options
-1406.953419,2091,14.516802,0.0,0.0,284.0465807650458,187,55,213,0.0,187,55,0,2,3
-445.858797,1058,35.790718,0.0,0.0,212.14120260329008,482,121,318,0.0,295,66,0,4,5
-340.15926,944,56.827711,0.0,0.0,203.84073998564102,780,196,420,0.0,298,75,0,2,3
-273.310916,877,80.529013,0.0,0.0,203.68908372356654,1099,259,501,0.0,319,63,0,3,4
-45.970547,674,106.610984,0.0,0.0,228.0294533982257,1431,313,569,0.0,332,54,0,10,11
139.516051,470,137.795974,0.0,0.0,209.51605092211227,1783,353,617,0.0,352,40,0,15,11
-365.663619,966,163.814095,0.0,0.0,200.3363809026531,2102,405,698,0.0,319,52,0,3,4
168.373858,492,198.905378,0.0,0.0,260.37385767228375,2442,452,758,0.0,340,47,0,11,11
-47.119627,669,229.608091,0.0,0.0,221.8803729648244,2778,504,822,0.0,336,52,0,5,6
27.025246,604,259.129572,0.0,0.0,231.02524552271973,3119,557,881,0.0,341,53,0,12,11
207.215998,417,298.512369,0.0,0.0,224.21599767647317,3468,596,932,0.0,349,39,0,24,11
136.721102,476,330.968647,0.0,0.0,212.72110227518712,3822,637,978,0.0,354,41,0,4,5
-349.650806,973,358.373982,0.0,0.0,223.34919403293736,4157,686,1043,0.0,335,49,0,5,6
-76.424514,688,387.455849,0.0,0.0,211.57548559206958,4484,739,1116,0.0,327,53,0,9,10
-10.839391,616,420.617644,0.03125,0.001694915254237288,205.16060945687522,4821,784,1179,0.0027359656362716082,337,45,2,10,11
58.788209,545,450.985952,0.0,0.0016273393002441008,203.78820893970612,5172,829,1228,0.002618932261317061,351,45,0,3,4
47.019384,545,484.66593,0.0136986301369863,0.0023059185242121443,192.01938391950375,5500,884,1300,0.003292167521944354,328,55,1,5,6
-613.057645,1179,511.563864,0.017391304347826087,0.0035335689045936395,165.94235497571847,5786,957,1414,0.00605828830636764,286,73,2,15,11
-91.028107,707,542.59571,0.0,0.0033738191632928477,215.97189274292492,6119,1012,1481,0.005788691068411475,333,55,0,12,11
-237.112056,844,572.308173,0.0,0.003209242618741977,206.88794415584172,6443,1065,1557,0.005505831019163733,324,53,0,4,5
-31.217597,584,604.422478,0.014285714285714285,0.0036877688998156115,152.78240251425458,6774,1117,1626,0.006583256802972999,331,52,1,6,7
48.242515,544,639.309671,0.0,0.00357355568790947,192.24251459425176,7122,1166,1678,0.006385675652376589,348,49,0,9,10
-8.999936,604,671.236546,0.0,0.0034285714285714284,195.00006416873003,7451,1222,1749,0.006104987469513219,329,56,0,2,3
-148.086,731,703.197304,0.012048192771084338,0.003820960698689956,182.91400006057668,7769,1280,1831,0.006430849369045984,318,58,1,12,11
100.694483,465,738.817712,0.017543859649122806,0.00423728813559322,165.69448255581418,8113,1324,1887,0.007348763853126475,344,44,1,15,11
52.491491,528,773.772808,0.0,0.004108885464817668,180.4914914402234,8454,1372,1946,0.007131083019519968,341,48,0,11,11
-113.571397,691,806.74335,0.0,0.003972194637537239,177.42860280508546,8787,1425,2013,0.0068910498514448675,333,53,0,7,8
-5.822065,605,842.033091,0.014492753623188406,0.004322766570605188,199.17793519380373,9119,1477,2081,0.007654994501162284,332,52,1,6,7
99.164631,443,880.534678,0.017857142857142856,0.004679457182966776,142.16463109789117,9464,1524,2136,0.008478781848424318,345,47,1,8,9
103.83199,499,916.241577,0.0,0.004580852038479157,202.831990006536,9818,1566,2182,0.008306845084668741,354,42,0,12,11
