#{"t_start": 1684749188.9821494, "env_id": "DeepDefragmentation-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,reward,number_movements,number_defragmentation_procedure,number_arrivals,bit_rate_blocking_rate,number_movements_episode,number_defragmentation_procedure_episode,service_blocked_eopisode,number_options,existing_options
-720.346995,1364,28.835983,0.0,0.0,243.65300541240313,271,57,129,0.0,271,57,0,4,5
-330.163371,941,60.317953,0.01098901098901099,0.004545454545454545,210.83662915823777,581,117,219,0.009478448378000522,310,60,1,6,7
-457.822389,977,91.900162,0.05434782608695652,0.01929260450160772,119.17761144236488,890,187,310,0.030049581809986476,309,70,5,8,9
-41.392867,647,125.239649,0.0,0.015503875968992248,205.60713343871436,1214,249,386,0.023967723465732813,324,62,0,4,5
-229.623054,786,157.166995,0.02631578947368421,0.017316017316017316,156.37694588811365,1539,305,461,0.029180368346034276,325,56,2,3,4
-429.948268,975,188.685169,0.011764705882352941,0.016483516483516484,145.05173232258886,1855,369,545,0.028571156465176523,316,64,1,14,11
-163.841208,757,221.580711,0.0,0.014423076923076924,193.15879246428003,2177,430,623,0.024978976028509337,322,61,0,1,2
-159.224732,716,255.686152,0.013513513513513514,0.014347202295552367,156.7752684565303,2504,492,696,0.02524108952420546,327,62,1,8,9
0.725562,627,289.693906,0.0,0.01310615989515072,227.72556156281138,2838,549,762,0.023239759126731874,334,57,0,1,2
-341.856665,933,320.245811,0.0,0.011614401858304297,191.1433345524241,3140,620,860,0.020858767737621242,302,71,0,10,11
-319.057013,884,350.056839,0.00980392156862745,0.011434511434511435,164.94298709385927,3439,700,961,0.020924994906415712,299,80,1,8,9
-452.87351,999,380.301399,0.029411764705882353,0.01317027281279398,146.12648956280353,3738,777,1062,0.02491268105290955,299,77,3,9,10
-116.402096,669,414.515538,0.028985507246376812,0.014146772767462422,152.59790396576977,4070,831,1130,0.027281151076429557,332,54,2,10,11
-58.841205,614,451.368456,0.0625,0.01675041876046901,155.1587953732497,4407,882,1193,0.03144361628159308,337,51,4,10,11
-363.872128,957,483.791453,0.0,0.015723270440251572,193.12787176824236,4729,944,1271,0.029375137049495036,322,62,0,11,11
-374.2399,962,515.132616,0.0,0.014598540145985401,187.76009989926382,5031,1018,1369,0.027297088438721882,302,74,0,3,4
-165.028601,760,547.440334,0.02127659574468085,0.015037593984962405,194.97139946536328,5338,1087,1462,0.02768778249628732,307,69,2,5,6
-204.184765,791,581.850688,0.013888888888888888,0.01499348109517601,186.81523465931048,5667,1143,1533,0.02700845467194984,329,56,1,3,4
-131.594612,730,615.04512,0.0,0.01425914445133292,198.40538830616316,5988,1198,1612,0.02578320566838881,321,55,0,10,11
-184.64699,786,648.896677,0.013888888888888888,0.014251781472684086,201.35301000301212,6317,1256,1683,0.02605957281138835,329,58,1,8,9
-162.110411,776,681.515363,0.0,0.013706453455168474,213.88958851669764,6650,1309,1750,0.025105792178487057,333,53,0,4,5
-89.528509,637,715.040327,0.0136986301369863,0.013713658804168952,147.47149059556853,6978,1363,1822,0.024716415480036405,328,54,1,3,4
-239.62057,774,749.753167,0.022727272727272728,0.014136125654450262,134.37942992567486,7291,1424,1909,0.02575456728173004,313,61,2,10,11
-486.29043,999,782.279995,0.03296703296703297,0.015,112.70957042564046,7601,1488,1999,0.026940445610974632,310,64,3,10,11
-108.084185,715,815.397837,0.0,0.014457831325301205,206.91581513358975,7926,1542,2074,0.025970619772127095,325,54,0,8,9
-42.989988,591,850.770048,0.0,0.013999066728884742,148.01001217618824,8258,1600,2142,0.025124315611155197,332,58,0,5,6
-68.102901,685,884.797962,0.0,0.013550135501355014,216.89709891304295,8587,1656,2213,0.02436664809011317,329,56,0,2,3
-111.110276,726,918.070297,0.0,0.013094718463553033,214.88972385804334,8910,1713,2290,0.023565040678859825,323,57,0,3,4
-396.457611,997,948.714029,0.0,0.012583892617449664,200.5423894851713,9217,1786,2383,0.022691479012628593,307,73,0,3,4
-370.788327,976,979.127035,0.0,0.012072434607645875,205.2116734427904,9516,1858,2484,0.021762504282472995,299,72,0,0,1
-96.549826,708,1013.416241,0.013513513513513514,0.012118842845973418,211.45017446229653,9843,1913,2557,0.021957294108544315,327,55,1,9,10
-150.353438,739,1044.059478,0.0,0.011769172361427487,188.64656213023935,10167,1973,2633,0.02135444101191578,324,60,0,2,3
-103.822225,721,1076.340253,0.0,0.01140125045972784,217.17777490026333,10482,2033,2718,0.020705934320776335,315,60,0,4,5
-235.687221,818,1108.784877,0.0,0.011075384065737763,182.3127792647104,10802,2098,2798,0.020095655319319963,320,65,0,8,9
-301.430465,893,1139.755,0.0,0.01074523396880416,191.56953494337176,11116,2165,2884,0.019516692348155486,314,67,0,7,8
-389.462417,991,1172.171286,0.0,0.010416666666666666,201.5375829682853,11425,2227,2975,0.018922294247081913,309,62,0,12,11
-141.862038,709,1204.94082,0.030303030303030304,0.010851693521867807,167.13796183636944,11760,2277,3040,0.01952503161823814,335,50,2,2,3
-225.360147,821,1236.781901,0.01282051282051282,0.010904425914047467,195.63985309235818,12083,2337,3117,0.01973567919052825,323,60,1,5,6
-235.527221,848,1269.082543,0.010638297872340425,0.010900031142946123,212.472778973728,12390,2407,3210,0.019846531276632294,307,70,1,14,11
-104.236741,697,1303.21706,0.012658227848101266,0.010945576162967468,192.76325914256876,12712,2471,3288,0.020052135552436335,322,64,1,5,6
-203.336749,742,1337.575982,0.04938271604938271,0.011872959335114277,138.66325114712498,13032,2536,3368,0.021286701689115665,320,65,4,4,5
-228.456672,777,1371.885264,0.0125,0.011890951276102088,148.5433275869618,13353,2596,3447,0.02140195192004975,321,60,1,2,3
-176.255122,775,1404.317922,0.0,0.011634506242905789,198.74487771592672,13677,2655,3523,0.02089955944334478,324,59,0,5,6
-222.139639,811,1433.450512,0.0,0.011373092926490984,188.86036131160492,13996,2721,3604,0.02051126558967659,319,66,0,2,3
-226.995149,858,1466.35575,0.0,0.011144332699103017,231.00485130419693,14322,2777,3678,0.02009315653296952,326,56,0,6,7
-135.892368,730,1499.939156,0.011764705882352941,0.011161307467446186,194.10763223317022,14638,2839,3762,0.020184761642129862,316,62,1,3,4
-187.372805,781,1531.417238,0.011627906976744186,0.011174636174636175,193.62719545847432,14953,2900,3847,0.020286202186741438,315,61,1,2,3
20.933649,613,1565.540621,0.0125,0.011204481792717087,233.93364850784945,15274,2960,3926,0.020402583783210304,321,60,1,2,3
-543.321542,1099,1597.630823,0.010101010101010102,0.011180124223602485,155.6784581213201,15576,3031,4024,0.020467809053948627,302,71,1,0,1
-328.585329,883,1628.550986,0.0,0.010970258410531447,154.41467143909816,15899,3086,4101,0.02006250643237828,323,55,0,6,7
-468.154144,1045,1657.415828,0.0,0.010696458283812693,176.8458561562653,16194,3164,4206,0.01959783711143152,295,78,0,5,6
-109.133694,652,1690.608739,0.031746031746031744,0.011009604122745374,142.86630558290346,16532,3216,4268,0.01971121191310494,338,52,2,4,5
-131.750485,719,1723.843692,0.0,0.010817031070195627,187.24951462039698,16856,3268,4344,0.01936117972477528,324,52,0,2,3
-378.360969,946,1755.549396,0.011111111111111112,0.010825439783491205,167.6390307334848,17167,3337,4433,0.01947028725325039,311,69,1,5,6
-63.39668,708,1788.536768,0.0,0.010661928031985785,244.603320036619,17499,3392,4501,0.019166643849233514,332,55,0,18,11
-114.003362,721,1820.757937,0.014084507042253521,0.010717410323709537,206.9966383674498,17829,3450,4571,0.01934800733113587,330,58,1,3,4
-308.345835,893,1852.375177,0.010638297872340425,0.010718113612004287,184.65416505757844,18136,3522,4664,0.019160143230675504,307,72,1,2,3
-499.34314,1054,1884.437405,0.018518518518518517,0.010896898575020955,154.6568598440248,18429,3597,4771,0.019211302986964402,293,75,2,6,7
-177.523166,751,1918.746279,0.013333333333333334,0.010936855138258357,173.47683356572998,18755,3656,4845,0.019358385665502582,326,59,1,8,9
-200.936213,817,1951.547118,0.037037037037037035,0.011368250101502234,216.06378668102636,19075,3719,4925,0.01980842423985172,320,63,3,7,8
-267.889582,860,1986.478649,0.021739130434782608,0.011560693641618497,192.11041821643974,19384,3789,5016,0.020072581600916507,309,70,2,14,11
-247.256701,853,2017.75284,0.011764705882352941,0.011566359537345618,205.7432985687086,19700,3857,5100,0.020138430733762605,316,68,1,4,5
-172.537204,706,2050.049936,0.010416666666666666,0.011547344110854504,133.46279645185464,20005,3924,5195,0.02020199937951002,305,67,1,3,4
-76.607883,684,2083.89446,0.0,0.011387360030366294,207.39211719490152,20332,3983,5268,0.01994502905766861,327,59,0,8,9
-86.849635,709,2116.520434,0.0,0.011214953271028037,222.15036504141713,20651,4045,5349,0.019662901622289706,319,62,0,19,11
-143.971993,736,2150.786066,0.0,0.01105583195135434,192.02800666599032,20974,4112,5426,0.019373312866153142,323,67,0,6,7
-229.325135,793,2185.130034,0.0,0.010913059294288832,163.674864990181,21303,4172,5497,0.01911447326460575,329,60,0,5,6
-202.25447,822,2219.086063,0.0,0.010762331838565023,219.7455295290292,21626,4230,5574,0.018835269233836986,323,58,0,5,6
-320.450718,941,2253.122203,0.010869565217391304,0.010765972467349099,220.5492822862594,21935,4299,5665,0.018614741930698356,309,69,1,2,3
-117.299809,645,2288.357327,0.0684931506849315,0.011502265597769257,127.70019095204634,22263,4351,5737,0.019867531137458132,328,52,5,10,11
-99.926262,652,2325.105679,0.043478260869565216,0.011884257664485016,152.07373810150224,22595,4406,5805,0.020001825051318048,332,55,3,4,5
-420.938709,950,2360.141855,0.011904761904761904,0.011886568177958906,129.0612913679993,22912,4469,5888,0.02007264298579202,317,63,1,4,5
-245.15323,734,2394.313716,0.0,0.011729222520107238,88.84677013188885,23233,4533,5967,0.01982061002635872,321,64,0,6,7
-131.21712,690,2429.66557,0.05970149253731343,0.012263838249917136,158.78288007851486,23567,4587,6033,0.020241459302681727,334,54,4,3,4
-3.337128,580,2465.496549,0.016666666666666666,0.012309207287050714,176.66287211170047,23908,4640,6092,0.020386625319309914,341,53,1,4,5
-163.703377,713,2500.578052,0.03409090909090909,0.01262135922330097,149.2966229399227,24221,4706,6179,0.020923378070743497,313,66,3,9,10
-231.046088,771,2533.431029,0.012987012987012988,0.012627877237851663,139.95391180965083,24545,4765,6255,0.02084577458712124,324,59,1,6,7
-366.44416,901,2565.903727,0.012195121951219513,0.01262427015938141,134.55584047871733,24864,4824,6336,0.020877160638807443,319,59,1,2,3
