#{"t_start": 1685355853.8863907, "env_id": "DeepDefragmentation-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,reward,number_movements,number_defragmentation_procedure,number_arrivals,bit_rate_blocking_rate,number_movements_episode,number_defragmentation_procedure_episode,service_blocked_eopisode,number_options,existing_options
-183.215192,751,510.493756,0.0273972602739726,0.01605584642233857,167.78480775844045,10736,2111,2864,0.027007249986770097,328,61,2,6,7
-263.575754,863,523.87682,0.013157894736842105,0.01598639455782313,199.4242456751264,11061,2169,2939,0.02696943404997507,325,58,1,8,9
-179.949661,778,538.860199,0.0,0.015562913907284768,198.05033901483148,11381,2231,3019,0.026238518490387552,320,62,0,7,8
-311.813025,907,552.186721,0.0,0.015122265122265123,195.18697549177836,11693,2300,3107,0.025511873931060875,312,69,0,2,3
-227.466396,764,567.001541,0.014285714285714285,0.015108593012275733,136.53360364962285,12024,2352,3176,0.025611515988317207,331,52,1,8,9
-37.923637,610,585.575876,0.0,0.014810243751928418,172.0763631113331,12360,2401,3240,0.025100522766656853,336,49,0,8,9
-215.779281,775,601.516858,0.0,0.014457831325301205,159.2207189751622,12681,2459,3319,0.024489757472908207,321,58,0,9,10
-368.651347,916,615.772427,0.0,0.014109347442680775,147.34865250455897,12999,2515,3401,0.023944706147803304,318,56,0,8,9
-539.449484,1098,628.63049,0.017241379310344827,0.014216661927779357,158.55051594339562,13284,2586,3516,0.02438658083779801,285,71,2,1,2
-328.700326,933,642.455863,0.0,0.013885031935573451,204.2996739247124,13600,2646,3600,0.023837174655269397,316,60,0,4,5
-229.597263,830,655.558572,0.010869565217391304,0.0138136511375948,200.40273676976997,13909,2713,3691,0.023802743266161424,309,67,1,3,4
-162.40009,758,669.702631,0.0,0.01352067868504772,195.59990962174513,14229,2775,3771,0.023310637837327824,320,62,0,8,9
-79.885267,690,685.287494,0.023255813953488372,0.013741249675913923,210.1147327955371,14544,2839,3856,0.023844975145677894,315,64,2,10,11
-53.894872,682,700.325126,0.0,0.013444951801116184,228.1051277239811,14859,2907,3941,0.023385565525424496,315,68,0,12,11
-123.22641,753,714.150688,0.0,0.013197211155378486,229.77359038697838,15185,2967,4015,0.022961483416199066,326,60,0,9,10
-202.927244,791,728.166394,0.0,0.012939453125,188.07275626326958,15505,3024,4095,0.02254673001956185,320,57,0,2,3
-113.701952,731,744.237708,0.012345679012345678,0.01293103448275862,217.29804843576156,15825,3082,4175,0.022373023663871713,320,58,1,1,2
3.096667,589,764.479627,0.0,0.012705882352941176,192.0966665748111,16151,3140,4249,0.02200244499079729,326,58,0,3,4
-419.77565,972,777.651739,0.010101010101010102,0.012649494020239191,152.22435046108237,16453,3213,4347,0.022009889938456963,302,73,1,8,9
-215.341088,813,791.060494,0.0,0.01241815308195981,197.65891172258253,16772,3276,4428,0.021630589932743128,319,63,0,2,3
-187.811015,794,803.872758,0.0,0.012205947625388371,206.1889845979379,17095,3335,4505,0.02128901475141566,323,59,0,5,6
-356.944119,946,817.026625,0.031914893617021274,0.012611437268971515,189.0558810661139,17402,3407,4598,0.021684233955674672,307,72,3,6,7
-338.888311,898,832.067351,0.011494252873563218,0.012593383137673426,159.11168913632739,17716,3472,4684,0.021518677874405277,314,65,1,4,5
-466.611432,1002,845.224303,0.018691588785046728,0.012732206219995825,135.38856807604398,18010,3544,4790,0.021892165135131866,294,72,2,3,4
-495.439025,1043,858.8972,0.01020408163265306,0.012684124386252046,147.5609745884422,18313,3613,4887,0.021870263014153183,303,69,1,3,4
-264.977774,801,874.48232,0.013333333333333334,0.012696493349455865,136.02222585362188,18639,3673,4961,0.021967502952878113,326,60,1,3,4
-31.954498,631,891.735309,0.0,0.012557305162447678,199.04550170329773,18984,3724,5016,0.021704915901314983,345,51,0,2,3
-208.451721,786,908.727529,0.0,0.012367491166077738,177.54827873007414,19307,3786,5093,0.021371028937612082,323,62,0,5,6
-350.398735,935,922.889503,0.0,0.012117714945181766,184.6012648992046,19602,3854,5198,0.02095139579818239,295,68,0,7,8
-242.190222,853,937.084783,0.0,0.011929558795682636,210.80977807824013,19920,3918,5280,0.020619563084407724,318,64,0,6,7
-199.505234,825,953.5307,0.011111111111111112,0.011918063314711359,225.4947659998505,20231,3982,5369,0.020466098250980953,311,64,1,6,7
-102.905718,703,970.62568,0.0,0.011771197351480595,200.0942818862616,20564,4040,5436,0.020232313424672386,333,58,0,2,3
-50.78914,627,988.979214,0.0,0.011613137361640356,176.21086037421222,20890,4095,5510,0.019963683290015004,326,55,0,8,9
-436.316513,1012,1003.796758,0.0,0.01145311381531854,175.6834870086288,21213,4149,5587,0.019689100622608927,323,54,0,5,6
-481.50254,1094,1017.187387,0.0,0.011265622249603943,212.49745973986145,21520,4215,5680,0.01936438491208662,307,66,0,3,4
-360.294366,964,1029.940811,0.0,0.01109377708441671,203.70563379538723,21832,4284,5768,0.019044998136506164,312,69,0,0,1
-571.15821,1122,1043.495081,0.008547008547008548,0.011045029736618521,150.84178977889476,22116,4346,5884,0.019041642194133564,284,62,1,8,9
-343.4867,922,1059.916274,0.0,0.010885948752302798,178.51330036300948,22430,4404,5970,0.018794653847477413,314,58,0,2,3
-339.191048,912,1074.479708,0.03571428571428571,0.011232243145028081,172.80895188996138,22747,4466,6053,0.019413232860422337,317,62,3,4,5
-300.620385,883,1089.887846,0.011494252873563218,0.011237785016286646,182.37961456055038,23061,4529,6139,0.01949500215132072,314,63,1,2,3
-253.987242,817,1104.752777,0.0,0.01107011070110701,163.01275841497306,23368,4601,6232,0.01919173216796401,307,72,0,5,6
-221.839783,824,1119.506371,0.0,0.01093849080532657,202.16021731975277,23693,4664,6307,0.01892611395188098,325,63,0,8,9
-342.928715,902,1136.363229,0.011235955056179775,0.010944340212632896,159.07128451450967,24005,4724,6395,0.01881210974114044,312,60,1,6,7
-104.406047,640,1155.698484,0.028985507246376812,0.011138613861386138,135.59395290558166,24337,4778,6463,0.019087054022860605,332,54,2,8,9
-435.375325,997,1172.67227,0.05434782608695652,0.011746758199847445,161.62467484684336,24646,4833,6554,0.0198399841280127,309,55,5,7,8
-92.991492,651,1189.459594,0.04918032786885246,0.012093726379440665,158.00850784243895,24986,4878,6614,0.02022202995873913,340,45,3,7,8
-162.022851,782,1205.207065,0.0,0.011933174224343675,219.97714918104103,25297,4949,6703,0.019965534007568113,311,71,0,8,9
-266.61145,843,1221.62267,0.0375,0.012236473536783135,176.38854974636678,25618,5010,6782,0.020134732335838044,321,61,3,1,2
-308.036348,800,1238.302441,0.0375,0.012532789274264064,91.96365200722292,25939,5072,6861,0.020381564338698692,321,62,3,7,8
-126.98627,725,1254.298513,0.0,0.012411603405974888,198.0137297935834,26272,5120,6928,0.020215822909391314,333,48,0,9,10
-185.068457,730,1270.330467,0.012048192771084338,0.012409071459135643,144.9315431961278,26590,5184,7010,0.02028548438355794,318,64,1,3,4
-472.099143,982,1284.375678,0.010416666666666666,0.01238390092879257,109.90085732692675,26895,5251,7105,0.020084473368062426,305,67,1,0,1
-75.157071,631,1300.981846,0.0,0.012263099219620958,155.84292865633518,27225,5304,7175,0.019894274046194357,330,53,0,1,2
-239.046119,854,1316.565297,0.011111111111111112,0.012250516173434273,214.9538812922722,27536,5369,7264,0.019949205695171786,311,65,1,3,4
-438.200118,1083,1329.372669,0.0,0.012082541406462123,244.7998816896568,27835,5438,7365,0.01967094444138452,299,69,0,4,5
-16.696222,635,1346.720294,0.0,0.011963973652372631,218.30377819712348,28162,5490,7438,0.019478665902630754,327,52,0,3,4
-372.219468,995,1359.913931,0.0,0.011809978768577496,222.78053174607572,28465,5556,7535,0.019228066544492696,303,66,0,10,11
