#{"t_start": 1684749188.9880404, "env_id": "DeepDefragmentation-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,reward,number_movements,number_defragmentation_procedure,number_arrivals,bit_rate_blocking_rate,number_movements_episode,number_defragmentation_procedure_episode,service_blocked_eopisode,number_options,existing_options
-96.340125,678,2083.878308,0.014705882352941176,0.007218844984802432,181.6598754684028,20337,3948,5263,0.011914365999226576,333,46,1,7,8
-223.99638,793,2117.098089,0.038461538461538464,0.007676465081445422,169.00362036132833,20660,4010,5340,0.012733771653629473,323,62,3,3,4
-385.9428,931,2151.716668,0.02564102564102564,0.007936507936507936,145.05720010275206,20983,4072,5417,0.013132092187287154,323,62,2,12,11
-116.45445,605,2189.712027,0.08196721311475409,0.008762322015334063,88.54554962079906,21323,4123,5477,0.01473437889261449,340,51,5,3,4
-299.61812,800,2223.166058,0.024096385542168676,0.008992805755395683,100.38188023420739,21641,4189,5559,0.015259880534210268,318,66,2,6,7
-127.202693,689,2258.938296,0.0,0.008874689385871494,161.7973067768692,21967,4241,5633,0.015077256806203537,326,52,0,10,11
-286.820244,878,2290.569924,0.0,0.008762705923589204,191.17975640866757,22295,4299,5705,0.014912839115631358,328,58,0,8,9
-286.184506,863,2322.837917,0.0,0.008641548565502939,176.81549397092758,22615,4356,5785,0.014689667012791946,320,57,0,6,7
-146.189192,749,2355.116152,0.0,0.008512087163772558,202.81080779185416,22927,4427,5873,0.014470458107571577,312,71,0,0,1
-152.630565,741,2389.174155,0.0,0.008386447500838645,188.36943540833474,23239,4492,5961,0.014243733424968019,312,65,0,11,11
-382.979414,986,2422.76693,0.02,0.008579442336248144,203.0205859500284,23540,4561,6060,0.014698149870385065,301,69,2,4,5
-196.569665,745,2457.507658,0.047058823529411764,0.009113100081366964,148.4303349677735,23856,4620,6144,0.01585385502855848,316,59,4,3,4
-168.725082,783,2489.822374,0.0,0.00899309458808415,214.27491844540793,24174,4679,6226,0.015622333484179416,318,59,0,6,7
-110.497801,695,2524.455101,0.036585365853658534,0.009353202282815472,184.50219919747016,24493,4745,6307,0.01594761125767059,319,66,3,5,6
-454.8959,999,2559.179065,0.009345794392523364,0.009354536950420954,144.1040997509198,24787,4829,6413,0.015980217479227777,294,84,1,13,11
-198.219061,763,2593.354331,0.012987012987012988,0.009399075500770416,164.78093900333783,25111,4884,6489,0.016119827306173323,324,55,1,6,7
-214.47214,828,2625.675348,0.0,0.009267699787298694,213.5278599098928,25419,4951,6581,0.015904879183163963,308,67,0,7,8
-253.562183,884,2657.848066,0.0,0.009148170365926815,230.43781747024929,25733,5009,6667,0.0157180156243426,314,58,0,6,7
-44.62384,680,2691.720059,0.0,0.009061200237670826,235.37616032201535,26069,5062,6731,0.015562355134516124,336,53,0,3,4
-402.452763,992,2723.855885,0.019417475728155338,0.009218612818261633,189.54723732457322,26367,5133,6833,0.015928233257377827,298,71,2,13,11
-433.204859,998,2757.832711,0.024691358024691357,0.009401214926236622,164.79514126881656,26687,5192,6913,0.016106857933696234,320,59,2,11,11
-104.797562,661,2793.746799,0.0,0.009312320916905445,156.20243793421562,27021,5247,6979,0.015957032475964247,334,55,0,4,5
-60.517117,663,2827.806118,0.03225806451612903,0.009515693793495242,202.4828828903499,27360,5300,7040,0.016406940060728153,339,53,2,4,5
-467.582231,1049,2860.723202,0.018691588785046728,0.00965440044774031,181.41776862466605,27654,5364,7146,0.016300327260416535,294,64,2,3,4
-148.597826,711,2895.506696,0.0,0.009559434746467166,162.40217420461917,27983,5421,7217,0.016152597461922626,329,57,0,4,5
-114.15943,672,2929.974339,0.012658227848101266,0.009594298245614035,157.84056954322716,28305,5482,7295,0.01626308907619149,322,61,1,3,4
-274.545925,853,2962.773935,0.0,0.009513454743136722,178.45407497953815,28643,5532,7357,0.01612555283770312,338,50,0,2,3
-197.906286,731,2998.503753,0.02666666666666667,0.00968783638320775,133.0937137673155,28969,5584,7431,0.016531845798321416,326,52,2,13,11
-79.92821,689,3032.215479,0.02702702702702703,0.009860093271152564,209.07178987462862,29296,5643,7504,0.016943182688988548,327,59,2,3,4
-273.471765,854,3065.360086,0.011494252873563218,0.009880121196153339,180.52823515120093,29610,5702,7590,0.0170316183304704,314,59,1,11,11
-191.858303,766,3096.912855,0.012345679012345678,0.009907443618824143,174.14169700049038,29930,5767,7670,0.017099287804362172,320,65,1,2,3
-589.254972,1158,3128.233433,0.008928571428571428,0.009894628630172193,168.74502764253407,30219,5833,7781,0.017137426581706576,289,66,1,2,3
-48.605315,611,3167.410562,0.02631578947368421,0.010054728267786688,162.3946852180353,30544,5894,7856,0.017502670666127505,325,61,2,16,11
-11.788389,609,3205.005614,0.0,0.009986095310327393,197.21161122796883,30890,5943,7910,0.017379133453766512,346,49,0,5,6
-379.646922,932,3237.5981,0.010309278350515464,0.009991257649556638,152.35307779600691,31194,6015,8006,0.01728556208638706,304,72,1,5,6
-149.26559,705,3271.779404,0.0,0.009907120743034056,155.7344101903437,31526,6067,8074,0.017127960190191995,332,52,0,13,11
-407.943358,957,3306.007352,0.020202020202020204,0.010033035605040989,149.0566417707782,31828,6133,8172,0.017238041269671787,302,66,2,5,6
-186.972856,726,3342.445551,0.013157894736842105,0.010063045586808924,139.027143538306,32153,6186,8247,0.017198536723016293,325,53,1,1,2
-207.913009,776,3376.442791,0.0,0.009987966305655837,168.0869906594489,32491,6238,8309,0.017079948709546617,338,52,0,5,6
-452.420106,1045,3408.649702,0.009615384615384616,0.009984547723760846,192.57989394120156,32788,6309,8412,0.01710788142614796,297,71,1,3,4
-222.215753,823,3443.337347,0.011363636363636364,0.01,200.78424679536866,33101,6363,8499,0.016986832425206978,313,54,1,4,5
-113.914751,661,3478.714209,0.029850746268656716,0.010156432407191222,147.08524894153354,33435,6418,8565,0.017336426527550523,334,55,2,2,3
-289.839862,793,3513.38114,0.04,0.010416666666666666,103.16013770415505,33761,6480,8639,0.017742120705966275,326,62,3,8,9
-56.869371,588,3550.597691,0.015873015873015872,0.010457366122730407,131.13062944154365,34099,6534,8701,0.017728988886818498,338,54,1,3,4
-263.815173,800,3585.677553,0.0,0.01037037037037037,136.18482692862497,34426,6588,8774,0.017601617911981133,327,54,0,4,5
-95.583272,649,3622.414279,0.028169014084507043,0.010514414923685699,153.41672804579196,34756,6647,8844,0.017818948788935144,330,59,2,5,6
-336.434537,959,3653.937175,0.0196078431372549,0.010619271182651465,222.56546254226274,35055,6723,8945,0.01808465851408695,299,76,2,3,4
-366.281906,940,3686.940452,0.010526315789473684,0.010619469026548672,173.71809361623883,35361,6791,9039,0.018120560970750977,306,68,1,6,7
-402.312873,1011,3718.782024,0.0,0.01051363487022232,208.68712692783436,35670,6853,9130,0.01794546304758826,309,62,0,0,1
-171.245058,763,3752.25588,0.0,0.010423452768729642,191.75494219710274,35991,6921,9209,0.017796019965765478,321,68,0,8,9
-36.92511,632,3787.212911,0.0,0.010345942450695119,195.07488989125224,36322,6976,9278,0.017666033822527703,331,55,0,4,5
-243.902802,817,3819.843702,0.011764705882352941,0.01035992737370501,173.09719755157954,36638,7040,9362,0.017749807476376184,316,64,1,5,6
-235.847367,796,3853.135278,0.010869565217391304,0.010365982652845357,160.15263257235543,36947,7110,9453,0.017799522861540292,309,70,1,4,5
-331.491377,932,3887.336057,0.0,0.010266080033521894,200.50862297634086,37255,7168,9545,0.017626959553288777,308,58,0,6,7
-182.786045,747,3920.712382,0.0,0.010181818181818183,164.21395483855028,37576,7228,9624,0.017492064342372174,321,60,0,4,5
-146.010974,712,3955.727983,0.024390243902439025,0.01030290541932825,165.98902631434024,37895,7285,9705,0.017773914720973925,319,57,2,3,4
-266.040939,839,3988.813555,0.025,0.010424118548799183,172.95906148704097,38216,7348,9784,0.017841778889843674,321,63,2,3,4
-226.203534,820,4020.740549,0.0379746835443038,0.0106458481192335,193.79646594126137,38538,7411,9862,0.01832320319420305,322,63,3,2,3
-396.813253,939,4056.75898,0.03614457831325301,0.01085972850678733,142.1867471134344,38856,7473,9944,0.018798173620142772,318,62,3,9,10
-28.459995,564,4092.38145,0.0,0.010792445288298192,135.54000465345808,39194,7525,10006,0.018675889898284597,338,52,0,5,6
-40.381185,603,4127.439422,0.0,0.010725990664415532,162.61881537764575,39532,7577,10068,0.018553252786505738,338,52,0,6,7
-354.427215,952,4158.402913,0.0,0.010623647452291954,197.57278463019813,39835,7638,10165,0.018369443565818593,303,61,0,10,11
-210.689908,816,4191.579481,0.0,0.01053658536585366,205.3100920101122,40151,7701,10249,0.0182320914513513,316,63,0,12,11
-113.221087,677,4224.864084,0.0,0.010453973477882102,163.77891274526243,40470,7768,10330,0.01809034092670312,319,67,0,11,11
-282.086827,806,4257.172035,0.0,0.010379625180201826,123.9131733235512,40796,7823,10404,0.017960739639402836,326,55,0,8,9
-354.13383,937,4290.004373,0.0,0.010296501096386692,182.86616979092545,41112,7882,10488,0.017795542216674724,316,59,0,4,5
-310.265507,923,4321.370653,0.0,0.010206974766090162,212.73449314356458,41420,7945,10580,0.017632482599067557,308,63,0,5,6
-587.701291,1170,4352.278564,0.01,0.010205992509363295,182.29870946561692,41721,8011,10679,0.01756968120844071,301,66,1,10,11
-95.559624,729,4385.644221,0.0,0.010124465911201933,233.44037610705215,42035,8072,10765,0.017441285471457922,314,61,0,9,10
-219.089786,839,4418.019864,0.022727272727272728,0.010227586842347739,219.91021445977037,42348,8147,10852,0.01746407166364875,313,75,2,5,6
-83.288349,655,4450.65459,0.0,0.010162973814319722,171.71165058561877,42679,8207,10921,0.01736327383806751,331,60,0,1,2
-120.918756,689,4483.736884,0.0,0.010092744135297326,168.08124397419763,43003,8264,10997,0.017259505995646397,324,57,0,6,7
-290.874955,874,4515.017761,0.011111111111111112,0.010101921168936592,183.1250452093902,43314,8330,11086,0.01729611083916465,311,66,1,5,6
-231.819859,830,4549.402455,0.012048192771084338,0.010117288924702301,198.1801413211916,43632,8390,11168,0.01735816287601709,318,60,1,5,6
-76.710072,686,4583.186535,0.0,0.010061437093758348,209.28992784153652,43970,8442,11230,0.017268805096965042,338,52,0,5,6
-62.865625,678,4618.844065,0.0,0.009999115122555526,215.13437470601056,44300,8497,11300,0.017154006250752522,330,55,0,12,11
-168.08402,779,4651.235497,0.0,0.00992970123022847,210.91597972461403,44621,8565,11379,0.017028927486765662,321,68,0,5,6
-102.580416,728,4682.970065,0.0,0.009856943475226797,225.41958423931877,44937,8626,11463,0.01690565954750559,316,61,0,3,4
-232.249228,864,4714.220783,0.013513513513513514,0.00988125162520586,231.75077182730334,45264,8682,11536,0.016972281488701148,327,56,1,12,11
-242.820057,799,4750.051913,0.012195121951219513,0.009898433465312446,156.179943479359,45583,8752,11617,0.016925430165449465,319,70,1,6,7
-397.653562,968,4782.154145,0.0,0.0098257006151743,170.34643845156992,45897,8817,11703,0.0168168900771828,314,65,0,2,3
-184.332462,753,4814.764061,0.0,0.009757339216019005,168.667538011152,46215,8881,11785,0.016704522827509987,318,64,0,5,6
-210.430282,820,4847.097267,0.0,0.009690739024184714,209.56971836733607,46534,8942,11866,0.016595850329328053,319,61,0,7,8
-280.139122,854,4878.141615,0.0,0.009615384615384616,173.8608781871772,46841,9012,11959,0.016454578124362386,307,70,0,3,4
-239.914245,818,4912.676772,0.0,0.009556257271065315,178.08575528512284,47167,9065,12033,0.016344135135924365,326,53,0,1,2
